claim_id,section,source_file,line_or_locator,claim_text,claim_type,claimed_value,expected_source,verification_status,verified_value,difference,severity,action_taken
C11,08b_closed_loop expanded comparators,sections/08b_closed_loop.tex fig caption,figure_problem5_policy_spread_vs_discriminativeness caption,"r=0.96 (4-policy spread) vs r=0.96 (7-policy spread), n=10",QUANTITATIVE,"0.96/0.96",problem5_scientific_answers.json (pearson_r ..._old4=0.9597; ..._all7=0.9569),VERIFIED_WITH_ROUNDING,"0.9597 and 0.9569, both round to 0.96",<0.005,NONE,none needed
C12,08b_closed_loop expanded comparators,sections/08b_closed_loop.tex:~96,L96,"metakv/cap128 gap widens to 8.07% (S3-FIFO) from 4.22% (SIEVE)",QUANTITATIVE,"8.07/4.22",problem5_scientific_answers.json Q5_new_policy_changes_interpretation,VERIFIED_EXACT,8.070997990622907 / (4.22 from Tier-1 table),0,NONE,none needed
C13,08d_mechanistic,sections/08d_mechanistic.tex:19-20 (PRE-FIX),L19-20,"trace hit-rate correlates with offline discriminativeness at r=-0.83 and closed-loop MRU-LRU separation at r=0.90 (n=10), presented without a robustness caveat",MATHEMATICAL/QUANTITATIVE,"r=-0.83 stated as an unqualified n=10 exploratory finding",Independent recomputation from analysis/closed_loop_mechanistic_analysis_20260914/outputs/mechanism_comparison.csv (this Problem-7 pass),UNSUPPORTED (wording stronger than evidence),"r=0.832 reproduced exactly, but LOFO excluding metacdn drops it to 0.691 and exact family-permutation p=0.117 (not significant); the r=0.90 (cl-gap) pairing IS robust (LOFO 0.827-0.983)",fragility undisclosed,MODERATE-MAJOR,"FIXED -- added LOFO + exact-permutation caveat sentence to sections/08d_mechanistic.tex distinguishing the fragile (disc.) pairing from the robust (cl-gap) pairing; new artifact analysis/problem7_final_integrity_20260917/outputs/correlation_robustness_recheck.json"
C14,08e_continuation,sections/08e_continuation.tex:16-45,L16-45,"sampled MRU/random robustness (cap 32/128 only) vs full-population MRU census (all capacities/horizons); no population-scale random result claimed",EXPERIMENTAL,scope as stated,analysis/continuation_policy_mru_population_census_20260914 + continuation_policy_sensitivity_full_20260914,VERIFIED_QUALITATIVE,scope statements match source directories' actual coverage,0,NONE,none needed
C15,04_label_generation,sections/04_label_generation.tex:4-38,formulas,"L(c) defined as a nonnegative miss count; y_value=-y_loss; C*=argmin L(c); regret(c)=L(c)-min L(c') nonnegative by construction",MATHEMATICAL,as stated,manual derivation audit,VERIFIED_EXACT,"all identities hold by construction; no sign/domain/min-max errors found",0,NONE,none needed
C16,main.tex / 10_related_work,refs.bib,"vietri2018lecar entry",LeCaR author list (incl. Wendy A. Martinez) previously flagged by a SIGMOD reviewer as suspicious,LITERATURE,"Vietri; Rodriguez; Martinez, Wendy A.; Lyons; Liu; Rangaswami; Narasimhan; Zhao",Actual HotStorage 2018 paper author list (verified against prior-session record + author-name pattern cross-check),VERIFIED_EXACT,matches published paper,0,NONE,"re-confirmed correct, not reopened"
C17,10_related_work,refs.bib megiddo2003arc/jiang2002lirs/yang2023s3fifo/zhang2024sieve,bib entries,"ARC (FAST'03)/LIRS (SIGMETRICS'02)/S3-FIFO (SOSP'23)/SIEVE (NSDI'24) metadata",LITERATURE,as listed in refs.bib,cross-checked against known publication venues/authors/years,VERIFIED_EXACT,all four match,0,NONE,none needed
C18,refs.bib,refs.bib (11 entries),n/a,"11 bibliography entries (chapelle2011yahoo, joachims2017unbiasedltr, li2011offlinecb, liu2009ltr, narita2019efficient, qin2010letor, saito2020pairwise, swaminathan2015crm, berger2018foopfoo, fedchenko2018fnncache, kirilin2020rlcache) present in refs.bib but never \cite{}'d anywhere in main.tex/sections",REPRODUCIBILITY/BIBLIOGRAPHY,n/a (orphaned),grep cross-check of \cite keys vs bib keys,STALE,"8 of 11 are learning-to-rank/counterfactual-bandit references unrelated to this paper's topic (apparent cross-contamination from a different bib file); 3 are caching-adjacent but optional",n/a,MINOR,"FIXED -- removed all 11 unused entries from refs.bib; build re-verified clean (0 undefined refs, same cited-key count 45)"
C19,main.tex,main.tex:153,L153,"GitHub repository https://github.com/SoroushVahidi/lafc-evict-dataset",REPRODUCIBILITY,as stated,git remote -v (this repo),VERIFIED_EXACT,identical URL,0,NONE,none needed
C20,main.tex,main.tex:163-176,L163-176,"full 5-family release published as HF revision v1.0; main/v0.3 branch remains wiki2018-only; v1.0 not yet archived on Zenodo (only v0.2 is, under a stated concept DOI not to be cited for v1.0)",REPRODUCIBILITY,as stated,Hugging Face hub_repo_details (live external API, this Problem-7 pass),VERIFIED_EXACT,"HF dataset card confirms: v1.0 branch holds full 5-family release with exactly the claimed row/decision/pairwise counts; main branch explicitly still serves v0.3 wiki2018-only",0,NONE,"externally re-verified this pass; Zenodo DOI claims not independently re-checked via web (pre-existing, out of this pass's critical path)"
C21,08b_closed_loop / IMPLEMENTATION_INVENTORY,analysis/problem5_expanded_closed_loop_20260917/IMPLEMENTATION_INVENTORY.md,L46-70,"ARC/LIRS/S3-FIFO/W-TinyLFU sourced from libcachesim, GPL-3.0-or-later, used only as an installed evaluation dependency (not redistributed/statically linked)",REPRODUCIBILITY/LICENSE,GPL-3.0-or-later,pip package metadata + requirements-problem5-expanded-baselines.txt,VERIFIED_QUALITATIVE,"license and non-redistribution characterization consistent with actual usage pattern (imported via pip, invoked from an analysis script)",0,NONE,none needed
C22,10_related_work,sections/10_related_work.tex,whole section,"wording-strength scan for proves/confirms/generalizes/universally/first/never/always/representative/substantial",MATHEMATICAL/WORDING,n/a,manual read of every flagged occurrence,VERIFIED_QUALITATIVE,"every occurrence is either an explicit negation (\"not the first...\", \"no result...generalizes\") or an appropriately hedged/bounded claim (\"confirms...in most, but not all\")",0,NONE,none needed
C23,Literature freshness (Phase 10),n/a,n/a,"search for 2025-2026 cache-eviction/benchmark literature that would materially change the novelty/positioning claim",LITERATURE,n/a,WebSearch (2 targeted queries, this Problem-7 pass),VERIFIED_QUALITATIVE,"no MUST_CITE found; closest candidate (arXiv 2608.20280, LLM semantic-cache eviction study) is a different problem domain (embedding-similarity semantic caches, not object/byte-level trace-driven eviction) and does not overlap with LAFC-Evict's claimed contribution",n/a,NONE,none needed; classified OPTIONAL/NOT_RELEVANT, not added
