feature,distinct_values,null_count,min,max,constant_globally,duplicate_of,deterministic_transform_of,leakage_check,category,repair_decision,reason
score_gap_to_lru_victim,472,0,-1.0,0.0,False,,candidate_lru_score (within-decision max),NONE_FOUND,VALID_MODEL_FEATURE,KEEP,"Non-constant, independently computed from recency order or request/hit-rate history; not derived from the defective bucket/confidence inputs."
bucket_gap_to_predictor_best,1,0,0.0,0.0,True,,,NONE_FOUND,ACCIDENTAL_PLACEHOLDER,DEPRECATE_FROM_MODEL_FEATURES,"Globally constant across the entire release (COUNT(DISTINCT)=1). Traced to a missing metadata-annotation call in the upstream generator (Augmented-caching src/lafc/evict_value_wulver_v1.py / evict_value_dataset_v1.py): bucket_by_page/confidence_by_page are only ever populated from req.metadata['bucket']/['confidence'], which no code path in this generator ever sets, so every .get(..., default) falls back to its default (0 or 0.5) for every row."
bucket_gap_to_lru_victim,1,0,0.0,0.0,True,,,NONE_FOUND,ACCIDENTAL_PLACEHOLDER,DEPRECATE_FROM_MODEL_FEATURES,"Globally constant across the entire release (COUNT(DISTINCT)=1). Traced to a missing metadata-annotation call in the upstream generator (Augmented-caching src/lafc/evict_value_wulver_v1.py / evict_value_dataset_v1.py): bucket_by_page/confidence_by_page are only ever populated from req.metadata['bucket']/['confidence'], which no code path in this generator ever sets, so every .get(..., default) falls back to its default (0 or 0.5) for every row."
confidence_gap_to_predictor_best,1,0,0.0,0.0,True,,,NONE_FOUND,ACCIDENTAL_PLACEHOLDER,DEPRECATE_FROM_MODEL_FEATURES,"Globally constant across the entire release (COUNT(DISTINCT)=1). Traced to a missing metadata-annotation call in the upstream generator (Augmented-caching src/lafc/evict_value_wulver_v1.py / evict_value_dataset_v1.py): bucket_by_page/confidence_by_page are only ever populated from req.metadata['bucket']/['confidence'], which no code path in this generator ever sets, so every .get(..., default) falls back to its default (0 or 0.5) for every row."
confidence_gap_to_lru_victim,1,0,0.0,0.0,True,,,NONE_FOUND,ACCIDENTAL_PLACEHOLDER,DEPRECATE_FROM_MODEL_FEATURES,"Globally constant across the entire release (COUNT(DISTINCT)=1). Traced to a missing metadata-annotation call in the upstream generator (Augmented-caching src/lafc/evict_value_wulver_v1.py / evict_value_dataset_v1.py): bucket_by_page/confidence_by_page are only ever populated from req.metadata['bucket']/['confidence'], which no code path in this generator ever sets, so every .get(..., default) falls back to its default (0 or 0.5) for every row."
cache_bucket_mean,1,0,0.0,0.0,True,,,NONE_FOUND,ACCIDENTAL_PLACEHOLDER,DEPRECATE_FROM_MODEL_FEATURES,"Globally constant across the entire release (COUNT(DISTINCT)=1). Traced to a missing metadata-annotation call in the upstream generator (Augmented-caching src/lafc/evict_value_wulver_v1.py / evict_value_dataset_v1.py): bucket_by_page/confidence_by_page are only ever populated from req.metadata['bucket']/['confidence'], which no code path in this generator ever sets, so every .get(..., default) falls back to its default (0 or 0.5) for every row."
cache_bucket_std,1,0,0.0,0.0,True,,,NONE_FOUND,ACCIDENTAL_PLACEHOLDER,DEPRECATE_FROM_MODEL_FEATURES,"Globally constant across the entire release (COUNT(DISTINCT)=1). Traced to a missing metadata-annotation call in the upstream generator (Augmented-caching src/lafc/evict_value_wulver_v1.py / evict_value_dataset_v1.py): bucket_by_page/confidence_by_page are only ever populated from req.metadata['bucket']/['confidence'], which no code path in this generator ever sets, so every .get(..., default) falls back to its default (0 or 0.5) for every row."
cache_bucket_min,1,0,0.0,0.0,True,,,NONE_FOUND,ACCIDENTAL_PLACEHOLDER,DEPRECATE_FROM_MODEL_FEATURES,"Globally constant across the entire release (COUNT(DISTINCT)=1). Traced to a missing metadata-annotation call in the upstream generator (Augmented-caching src/lafc/evict_value_wulver_v1.py / evict_value_dataset_v1.py): bucket_by_page/confidence_by_page are only ever populated from req.metadata['bucket']/['confidence'], which no code path in this generator ever sets, so every .get(..., default) falls back to its default (0 or 0.5) for every row."
cache_bucket_max,1,0,0.0,0.0,True,,,NONE_FOUND,ACCIDENTAL_PLACEHOLDER,DEPRECATE_FROM_MODEL_FEATURES,"Globally constant across the entire release (COUNT(DISTINCT)=1). Traced to a missing metadata-annotation call in the upstream generator (Augmented-caching src/lafc/evict_value_wulver_v1.py / evict_value_dataset_v1.py): bucket_by_page/confidence_by_page are only ever populated from req.metadata['bucket']/['confidence'], which no code path in this generator ever sets, so every .get(..., default) falls back to its default (0 or 0.5) for every row."
cache_unique_bucket_count,1,0,1.0,1.0,True,,,NONE_FOUND,ACCIDENTAL_PLACEHOLDER,DEPRECATE_FROM_MODEL_FEATURES,"Globally constant across the entire release (COUNT(DISTINCT)=1). Traced to a missing metadata-annotation call in the upstream generator (Augmented-caching src/lafc/evict_value_wulver_v1.py / evict_value_dataset_v1.py): bucket_by_page/confidence_by_page are only ever populated from req.metadata['bucket']/['confidence'], which no code path in this generator ever sets, so every .get(..., default) falls back to its default (0 or 0.5) for every row."
cache_confidence_mean,1,0,0.5,0.5,True,,,NONE_FOUND,ACCIDENTAL_PLACEHOLDER,DEPRECATE_FROM_MODEL_FEATURES,"Globally constant across the entire release (COUNT(DISTINCT)=1). Traced to a missing metadata-annotation call in the upstream generator (Augmented-caching src/lafc/evict_value_wulver_v1.py / evict_value_dataset_v1.py): bucket_by_page/confidence_by_page are only ever populated from req.metadata['bucket']/['confidence'], which no code path in this generator ever sets, so every .get(..., default) falls back to its default (0 or 0.5) for every row."
cache_confidence_std,1,0,0.0,0.0,True,,,NONE_FOUND,ACCIDENTAL_PLACEHOLDER,DEPRECATE_FROM_MODEL_FEATURES,"Globally constant across the entire release (COUNT(DISTINCT)=1). Traced to a missing metadata-annotation call in the upstream generator (Augmented-caching src/lafc/evict_value_wulver_v1.py / evict_value_dataset_v1.py): bucket_by_page/confidence_by_page are only ever populated from req.metadata['bucket']/['confidence'], which no code path in this generator ever sets, so every .get(..., default) falls back to its default (0 or 0.5) for every row."
predictor_lru_disagree,1,0,0.0,0.0,True,,,NONE_FOUND,ACCIDENTAL_PLACEHOLDER,DEPRECATE_FROM_MODEL_FEATURES,"Globally constant across the entire release (COUNT(DISTINCT)=1). Traced to a missing metadata-annotation call in the upstream generator (Augmented-caching src/lafc/evict_value_wulver_v1.py / evict_value_dataset_v1.py): bucket_by_page/confidence_by_page are only ever populated from req.metadata['bucket']/['confidence'], which no code path in this generator ever sets, so every .get(..., default) falls back to its default (0 or 0.5) for every row."
recent_candidate_request_rate,159,0,0.0,0.984375,False,,,NONE_FOUND,VALID_MODEL_FEATURE,KEEP,"Non-constant, independently computed from recency order or request/hit-rate history; not derived from the defective bucket/confidence inputs."
recent_candidate_hit_rate,285,0,0.0,1.0,False,,,NONE_FOUND,VALID_MODEL_FEATURE,KEEP,"Non-constant, independently computed from recency order or request/hit-rate history; not derived from the defective bucket/confidence inputs."
